setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,total,positiu
19,2023,08/05/2023,14/05/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,20 a 24,3,1,0
25,2022,20/06/2022,26/06/2022,64,GIRONA,6400,GIRONA,Home,3 i 4,3,1,1
19,2023,08/05/2023,14/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,20 a 24,4,1,1
19,2023,08/05/2023,14/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,40 a 44,3,3,2
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,65 a 69,2,1,1
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,15 a 19,3,1,1
25,2022,20/06/2022,26/06/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,1 i 2,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,5 a 9,4,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,25 a 29,2,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,50 a 54,2,2,1
25,2022,20/06/2022,26/06/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,0,3,1,1
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,20 a 24,4,2,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,70 a 74,3,2,2
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Dona,15 a 19,4,1,1
25,2022,20/06/2022,26/06/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,3 i 4,4,1,1
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Dona,15 a 19,4,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,75 a 79,2,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,65 a 69,3,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,35 a 39,2,1,0
25,2022,20/06/2022,26/06/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,3 i 4,3,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,40 a 44,3,1,1
25,2022,20/06/2022,26/06/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,0,4,1,1
3,2023,16/01/2023,22/01/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,3,4,3
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,40 a 44,3,2,0
25,2022,20/06/2022,26/06/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,3 i 4,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,1 i 2,4,1,1
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Dona,35 a 39,3,1,0
19,2023,08/05/2023,14/05/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,20 a 24,4,2,2
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Dona,65 a 69,4,1,1
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,15 a 19,2,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,20 a 24,2,1,1
19,2023,08/05/2023,14/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,40 a 44,4,2,2
25,2022,20/06/2022,26/06/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,0,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,10 a 14,4,1,0
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Home,10 a 14,3,3,3
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,15 a 19,3,1,0
19,2023,08/05/2023,14/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,65 a 69,3,1,1
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,1 i 2,4,1,0
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Dona,15 a 19,2,1,0
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Dona,30 a 34,3,2,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,5 a 9,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,75 a 79,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,0,3,1,1
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Dona,75 a 79,4,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,75 a 79,4,1,1
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,1 i 2,4,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 74,4,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,75 a 79,2,2,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,25 a 29,2,1,1
25,2022,20/06/2022,26/06/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,3 i 4,2,1,1
3,2023,16/01/2023,22/01/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,1 i 2,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,35 a 39,2,2,1
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,45 a 49,3,1,1
25,2022,20/06/2022,26/06/2022,64,GIRONA,6400,GIRONA,Home,0,3,3,3
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,35 a 39,3,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,15 a 19,3,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,1 i 2,3,1,1
25,2022,20/06/2022,26/06/2022,61,LLEIDA,6100,LLEIDA,Home,1 i 2,4,1,0
17,2023,24/04/2023,30/04/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,0,4,2,2
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,30 a 34,4,1,1
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Home,0,3,2,0
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Dona,0,4,1,1
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Dona,10 a 14,3,2,2
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,25 a 29,2,1,1
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,40 a 44,4,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,0,4,1,1
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,45 a 49,4,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,30 a 34,3,2,1
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Dona,40 a 44,3,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,40 a 44,3,1,0
51,2022,19/12/2022,25/12/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,10 a 14,4,3,2
20,2023,15/05/2023,21/05/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,30 a 34,4,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,50 a 54,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,45 a 49,2,1,1
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Home,50 a 54,3,1,1
25,2022,20/06/2022,26/06/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,1 i 2,4,1,1
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Dona,65 a 69,3,2,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,60 a 64,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,35 a 39,3,1,0
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,35 a 39,4,1,1
20,2023,15/05/2023,21/05/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,45 a 49,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,1 i 2,3,2,2
